src_x,src_y,dst_x,dst_y
575,8,2360,391
536,18,2213,431
527,36,2184,501
565,42,2320,564
642,56,2599,666
551,110,2253,873
660,137,2646,1049
571,137,2318,1002
518,147,2121,1023
646,177,2582,1226
535,210,2155,1311
520,236,2103,1422
565,262,2262,1546
551,298,2203,1682
580,352,2301,1921
626,348,2473,1927
668,360,2626,1999
508,425,2021,2177
534,449,2112,2283
641,448,2500,2326
661,467,2580,2422
527,530,2073,2606
623,532,2424,2664
582,607,2262,2945
536,656,2085,3111
634,628,2449,3058
548,693,2124,3272
585,694,2261,3288
636,675,2450,3244
692,648,2665,3161
364,694,1447,3184
454,637,1787,2994
368,603,1476,2818
332,571,1347,2674
357,554,1440,2617
377,524,1518,2507
386,490,1558,2357
260,536,1083,2489
372,471,1513,2284
345,451,1416,2184
329,429,1361,2094
334,377,1390,1884
448,369,1809,1921
331,249,1406,1367
322,275,1365,1470
336,222,1428,1258
372,188,1567,1130
324,66,1420,543
370,76,1587,616
368,16,1593,328
384,12,1651,310
383,2,1648,201
158,5,817,148
110,149,615,814
11,196,230,972
147,200,733,1061
27,243,278,1187
11,294,207,1386
157,375,736,1795
159,442,733,2053
106,448,532,2054
18,458,205,2042
7,424,173,1905
33,511,255,2265
111,493,543,2244
156,472,714,2167
29,558,230,2463
29,574,227,2526
40,598,267,2617
115,546,550,2459
9,685,137,2958
10,709,132,3068
124,693,562,3051
173,670,747,2990
0,151,186,724
73,119,479,643
39,35,375,246
226,85,1055,584
104,249,554,1248
256,232,1129,1257
204,300,920,1504
259,143,1164,874
346,148,1486,934
459,86,1912,705
438,17,1853,370
408,304,1677,1639
515,322,2073,1726
223,585,944,2666
258,421,1093,2019
462,202,1903,1235
315,646,1274,2964
87,322,487,1546
142,75,746,489
97,632,465,2792
460,486,1831,2386
