src_x,src_y,dst_x,dst_y
18,48,286,368
188,36,922,281
143,155,744,815
14,160,260,852
169,210,827,1057
285,4,1289,120
301,144,1330,746
380,78,1631,439
389,194,1651,948
477,7,2002,114
509,25,2117,189
493,104,2048,538
511,153,2109,755
468,200,1942,972
680,10,2755,94
675,71,2730,367
645,153,2607,738
697,204,2796,950
840,94,3343,442
836,129,3320,595
692,270,2769,1255
774,309,3073,1407
843,292,3325,1323
837,356,3297,1619
671,350,2684,1611
609,222,2464,1051
502,258,2061,1219
508,360,2076,1688
658,378,2631,1737
378,287,1600,1378
358,369,1519,1748
278,229,1235,1140
140,316,715,1539
59,232,427,1175
61,374,414,1811
11,269,235,1345
10,375,224,1825
87,425,505,2046
192,417,894,1994
27,494,280,2358
181,523,851,2454
314,457,1348,2157
445,458,1833,2137
410,522,1700,2417
508,483,2064,2233
605,532,2421,2437
690,532,2736,2411
519,546,2101,2491
558,395,2256,1831
757,437,2996,1995
776,506,3057,2291
836,443,3284,2004
802,639,3144,2837
688,691,2724,3064
610,588,2440,2665
525,698,2121,3128
545,609,2197,2757
455,553,1864,2535
435,671,1787,3029
291,658,1254,3000
318,512,1363,2391
179,681,837,3106
17,600,240,2794
42,681,327,3122
94,726,523,3302
27,761,272,3447
22,826,258,3709
219,828,984,3692
290,798,1251,3559
368,793,1539,3525
410,836,1696,3692
470,710,1918,3172
506,809,2053,3567
678,641,2682,2859
701,734,2770,3231
697,808,2758,3540
762,804,2997,3500
790,845,3103,3661
801,732,3144,3209
769,589,3028,2631
811,38,3241,202
617,300,2488,1398
215,602,975,2776
226,765,1020,3442
590,815,2366,3581
597,675,2390,3024
434,129,1830,654
625,802,2493,3524
672,806,2665,3515
