id,src_x,src_y,dst_x,dst_y
0,18,48,286,368
1,188,36,922,281
2,143,155,744,815
3,14,160,260,852
4,169,210,827,1057
5,285,4,1289,120
6,301,144,1330,746
7,380,78,1631,439
8,389,194,1651,948
9,477,7,2002,114
10,509,25,2117,189
11,493,104,2048,538
12,511,153,2109,755
13,468,200,1942,972
14,680,10,2755,94
15,675,71,2730,367
16,645,153,2607,738
17,697,204,2796,950
18,840,94,3343,442
19,836,129,3320,595
20,692,270,2769,1255
21,774,309,3073,1407
22,843,292,3325,1323
23,837,356,3297,1619
24,671,350,2684,1611
25,609,222,2464,1051
26,502,258,2061,1219
27,508,360,2076,1688
28,658,378,2631,1737
29,378,287,1600,1378
30,358,369,1519,1748
31,278,229,1235,1140
32,140,316,715,1539
33,59,232,427,1175
34,61,374,414,1811
35,11,269,235,1345
36,10,375,224,1825
37,87,425,505,2046
38,192,417,894,1994
39,27,494,280,2358
40,181,523,851,2454
41,314,457,1348,2157
42,445,458,1833,2137
43,410,522,1700,2417
44,508,483,2064,2233
45,605,532,2421,2437
46,690,532,2736,2411
47,519,546,2101,2491
48,558,395,2256,1831
49,757,437,2996,1995
50,776,506,3057,2291
51,836,443,3284,2004
52,802,639,3144,2837
53,688,691,2724,3064
54,610,588,2440,2665
55,525,698,2121,3128
56,545,609,2197,2757
57,455,553,1864,2535
58,435,671,1787,3029
59,291,658,1254,3000
60,318,512,1363,2391
61,179,681,837,3106
62,17,600,240,2794
63,42,681,327,3122
64,94,726,523,3302
65,27,761,272,3447
66,22,826,258,3709
67,219,828,984,3692
68,290,798,1251,3559
69,368,793,1539,3525
70,410,836,1696,3692
71,470,710,1918,3172
72,506,809,2053,3567
73,678,641,2682,2859
74,701,734,2770,3231
75,697,808,2758,3540
76,762,804,2997,3500
77,790,845,3103,3661
78,801,732,3144,3209
79,769,589,3028,2631
80,811,38,3241,202
81,617,300,2488,1398
82,215,602,975,2776
83,226,765,1020,3442
84,590,815,2366,3581
85,597,675,2390,3024
86,434,129,1830,654
87,625,802,2493,3524
88,672,806,2665,3515
89,,,,
90,,,,
91,,,,
92,,,,
93,,,,
94,,,,
95,,,,
96,,,,
97,,,,
98,,,,
99,,,,
100,,,,
